1. FracLac 2015Marb6206: File Slice (ROI) start position	2. Number (Ǥɴ) in SET (Ǥ) of SCAN POSITIONS (ɢ)	3. SCAN TYPE	4. Formula for FRACTAL DIMENSION (D)	5. Y₍ø₎ for the SET (Ø) of ALL (Øɴ) sampling ELEMENT SIZES (ø)	6. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	7. STANDARD DEVIATION (σ) for D	8. CV (σ/μ) for D 	9. ⋆D (D with highest r²)	10. ⋆r²	11. ⋆SE	12. ⋆Y-INT	13. Prefactor	14. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	15. Formula for Λ₍ɢ₎	16. λ₍ø₎ = (CV)² = (σ∕μ)²	17. Ｌ′ = MEAN Λ′₍ɢ₎ | Λ′₍ɢ₎ = REGRESSION LINE SLOPE for ln(λ₍ø₎+1) vs ln(ø)	18. Mean Number Of Sizes = (∑Øɴ₍ɢ₎)/Ǥɴ	19. Mean Minimum ø	20. Mean Maximum ø	21. Standard Deviation in Ø∀ ɢ∈Ǥ	22. MEAN PREFACTOR LACUNARITY	
Imagen12tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,5064	0,0302	0,0201	1,4807	0,9844	0,1559	0,7528	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0159	
Imagen12tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,5064	0,0302	-0,0201	1,4807	0,9844	0,1559	8,6837	Not Calculated	0,1594	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0415	100	5	233	0	0,0136	
Imagen12tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,5032	Not Calculated	Not Calculated	1,5032	0,9853	0,1537	10,9479	0	0,1623	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,045	100	5	233	0	Not Calculated	

Imagen13tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,5335	0,0299	0,0195	1,5025	0,9866	0,1468	0,8836	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	267	0	0,0154	
Imagen13tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,5335	0,0299	-0,0195	1,5025	0,9866	0,1468	8,7765	Not Calculated	0,1607	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0499	100	5	267	0	0,0131	
Imagen13tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,531	Not Calculated	Not Calculated	1,531	0,9877	0,1432	11,1978	0	0,1634	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0528	100	5	267	0	Not Calculated	

Imagen14tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,5549	0,0318	0,0205	1,5205	0,9859	0,1523	0,6969	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0171	
Imagen14tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,5549	0,0318	-0,0205	1,5205	0,9859	0,1523	8,8968	Not Calculated	0,1586	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0409	100	5	233	0	0,0145	
Imagen14tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,5516	Not Calculated	Not Calculated	1,5516	0,987	0,1487	11,1894	0	0,1612	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0447	100	5	233	0	Not Calculated	

Imagen15tifŞ1_ (0, 0_1167x875) 151,124--1056,720 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,58	0,0313	0,0198	1,5579	0,9881	0,1431	0,7628	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	268	0	0,0156	
Imagen15tifŞ1_ (0, 0_1167x875) 151,124--1056,720 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,58	0,0313	-0,0198	1,5579	0,9881	0,1431	9,0428	Not Calculated	0,1599	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0494	100	5	268	0	0,0132	
Imagen15tifŞ1_ (0, 0_1167x875) 151,124--1056,720 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,5771	Not Calculated	Not Calculated	1,5771	0,9892	0,1384	11,4261	0	0,1618	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0528	100	5	268	0	Not Calculated	

Imagen16tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,5954	0,0301	0,0189	1,5626	0,9871	0,1497	0,6169	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0165	
Imagen16tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,5954	0,0301	-0,0189	1,5626	0,9871	0,1497	9,1114	Not Calculated	0,1569	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,041	100	5	233	0	0,014	
Imagen16tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,5921	Not Calculated	Not Calculated	1,5921	0,9886	0,1429	11,3899	0	0,1597	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0446	100	5	233	0	Not Calculated	

Imagen2tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,0212	0,0146	0,0143	1,0413	0,9977	0,0415	1,1176	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	267	0	0,004	
Imagen2tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,0212	0,0146	-0,0143	1,0413	0,9977	0,0415	6,8032	Not Calculated	0,2213	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0281	100	5	267	0	0,0037	
Imagen2tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,0201	Not Calculated	Not Calculated	1,0201	0,9993	0,0219	8,1521	0,0003	0,2236	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0303	100	5	267	0	Not Calculated	

Imagen3tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,0854	0,0261	0,0241	1,0529	0,993	0,074	1,2692	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0108	
